CArea,CFFact,CPolar,NArea,NFFact,NPolar,NCCave,NCaveMaxPiece,ODR,ODG,ODB,NODR,NODG,NODB,Nucls,Segms,Holes,Tails,Nucleols,NuclDensBrd,NuclZDens,NuclEuFraq,NuclEuMeanDF,NuclEuFFDist,NuclEuFFChain,GrODR,GrODG,GrODB,GrODH,ODRCN,ODGCN,ODBCN,GrRODR,GrRODG,GrRODB,Type_real
414.9691577883,23.9559512529,0.585899311,242.9012474373,54.8799946837,0.6652230493,0.4872935197,0.8820078227,0.2647169831,0.5314773041,0.1208877687,0.5978546204,1.1853178624,0.2346542981,2.0,4.0,0.0,4.0,0.0,0.5991344452,0.6231517792,0.4286347628,0.3268987834,661.8407592773,1177.4312744141,0.3149780035,0.5921937227,0.0835183561,66.0,0.442778183972031,0.4483837803843426,0.5151738948693052,0.840430062285286,0.8974720327612146,1.447439513240132,artefacts
178.7808736697,28.7339594689,0.595769216,81.7129672923,35.6370896108,0.4161983138,0.1973559962,0.4019138756,0.2984334011,0.5147778634,0.0771916735,0.6521845069,1.3662250574,0.1884264427,1.0,2.0,0.0,3.0,0.0,0.6714285612,0.7020407915,0.4701298773,0.3314917088,237.1519317627,486.3370056152,0.3985739648,0.8052276969,0.0653421581,66.0,0.457590448627077,0.3767884805008993,0.4096647603908727,0.748752872631183,0.6392947800750196,1.181345638781404,artefacts
94.5216099462,25.660437832,0.7244628152,40.3549404097,57.6771958492,0.7854040255,0.7342256214,0.7682291667,0.289534835,0.654954704,0.0961070463,0.7861877736,2.060458585,0.1924045817,2.0,3.0,0.0,4.0,0.0,0.8367567062,0.7589188814,0.4076433182,0.2886284888,118.1953125,247.0402526855,0.289534837,0.6549547315,0.0961070433,71.0,0.3682769495055907,0.3178684147150669,0.4995049777445087,0.9999999930923684,0.9999999580123652,1.000000031215194,artefacts
97.0679063774,26.4662835327,0.7146987354,50.077163147,34.2980498136,0.7654045396,0.5331278891,0.7947976879,0.2563814015,0.5414603981,0.0970928593,0.7021539495,1.8305385355,0.1922642807,2.0,3.0,1.0,4.0,0.0,0.7060194016,0.7165048122,0.3981900513,0.2919823229,158.4602203369,303.9210205078,0.3971977234,0.4148040116,0.1451272815,45.0,0.3651355969478884,0.2957929525106138,0.5049968665344503,0.6454755060159542,1.3053403124320218,0.6690186593207839,artefacts
270.1389032014,18.5725290495,0.1929952727,94.75309144,14.4163844024,0.054528869,0.0390879479,0.1875,0.2217695552,0.361180154,0.1118959907,0.5961702702,1.2763297486,0.2432348091,1.0,1.0,0.0,2.0,0.0,0.6679245234,0.5805929899,0.4013528824,0.3347378373,226.5617980957,365.7019348145,0.3319753408,0.5650441051,0.0976684988,64.0,0.3719902958690005,0.2829834174093151,0.4600328016949117,0.6680302056941212,0.6392070118775582,1.1456712458449294,artefacts
140.1234642141,24.5615271509,0.5421260989,111.8827219771,25.9735303609,0.5740234554,0.1655172414,0.35,0.1969269119,0.3301264147,0.0787154295,0.5676850913,1.1590691524,0.1693246606,1.0,2.0,0.0,4.0,0.0,0.5150855184,0.7222394943,0.4376130104,0.3282828331,335.5557861328,624.8988647461,0.299041003,0.3136092722,0.1438792497,46.0,0.346894633870051,0.2848202922288383,0.4648787082819051,0.6585281279972164,1.0526679022725651,0.5470936890769733,artefacts
131.8672909372,31.4465054931,0.5363748464,71.5277815675,58.6836822156,0.5758137254,0.8371089536,0.8298969072,0.2018730492,0.4373572294,0.0852505106,0.6560527353,1.3921115605,0.2035799326,2.0,3.0,0.0,4.0,0.0,0.8177285194,0.7927977443,0.4732576907,0.294901073,257.109588623,513.7127075195,0.2468042225,0.5412604213,0.0323872566,67.0,0.3077085702686498,0.3141682332146684,0.4187569448090091,0.8179481175610761,0.8080347503509583,2.632223891417836,artefacts
188.6574174028,42.9901539236,0.5248700766,78.3950658819,46.552805869,0.7565560535,0.3956692913,0.9054726368,0.3318337316,0.4642801794,0.1177035226,0.6192962011,1.2504482681,0.1934456366,1.0,2.0,0.0,3.0,0.0,0.68746984,0.5898795128,0.4844444394,0.3236493468,229.5902099609,426.3934020996,0.4566018879,0.5847532749,0.1261082739,54.0,0.5358239417755085,0.3712909931935472,0.6084578834072291,0.7267462978004039,0.7939761935995957,0.9333528955707956,artefacts
131.8672909372,31.4465054931,0.5363748464,71.5277815675,58.6836822156,0.5758137254,0.8371089536,0.8298969072,0.2018730492,0.4373572294,0.0852505106,0.6560527353,1.3921115605,0.2035799326,2.0,3.0,0.0,4.0,0.0,0.8177285194,0.7927977443,0.4732576907,0.294901073,257.109588623,513.7127075195,0.2468042225,0.5412604213,0.0323872566,67.0,0.3077085702686498,0.3141682332146684,0.4187569448090091,0.8179481175610761,0.8080347503509583,2.632223891417836,artefacts
461.4197775333,22.8938604733,0.5438172382,218.518530096,29.4993448219,0.6631452211,0.1843220339,0.469348659,0.2577647774,0.4340616258,0.1116374518,0.5674212942,1.1445018103,0.2253660726,1.0,2.0,0.0,3.0,0.0,0.551063776,0.6198581457,0.4218217134,0.3310238719,577.1928710938,976.4334106445,0.4977437556,0.7495986223,0.1331045926,59.0,0.4542740641473796,0.3792581382516315,0.4953605061847272,0.5178664212256769,0.5790587294146365,0.8387197587951597,artefacts
